month,signups,first_buyers,orders,buyers,gmv_source_units,promo_order_share,repeat_order_share,new_buyer_gmv,returning_buyer_gmv,returning_gmv_share
2018-02,924,554,4187,3218,2270593602.0,0.4473369954621447,0.8676856938141868,295724178.0,1974869424.0,0.8697590895440214
2018-03,1061,589,4811,3578,2664161076.0,0.4473082519226772,0.8775722303055498,324844089.0,2339316987.0,0.8780689005907539
2018-04,957,594,5100,3827,2854918619.0,0.4331372549019608,0.8835294117647059,322363872.0,2532554747.0,0.8870847421518042
2018-05,925,519,5334,3958,3004855955.0,0.43082114735658045,0.9026996625421823,286134337.0,2718721618.0,0.9047760221171733
2018-06,1079,401,5183,3846,2814821623.0,0.4651746092996334,0.9226316804939224,210897537.0,2603924086.0,0.9250760562315036
2018-07,2016,1143,6459,4930,3562572094.0,0.42793002012695464,0.8230376219228983,640814460.0,2921757634.0,0.8201258969385505
2018-08,1138,675,6384,4732,3581307864.0,0.43765664160401,0.894266917293233,405410513.0,3175897351.0,0.8867981954092066
2018-09,1238,672,6561,4882,3468119337.0,0.4493217497332724,0.8975765889346137,374831481.0,3093287856.0,0.8919208237729681
2018-10,1021,643,7093,5200,3889002311.0,0.42802763287748485,0.9093472437614549,314366556.0,3574635755.0,0.9191652432011116
2018-11,1048,627,7054,5250,3929300227.0,0.4468386730932804,0.9111142614119648,348570009.0,3580730218.0,0.9112895455010493
2018-12,1186,417,7464,5391,4095858438.0,0.44895498392282956,0.9441318327974276,214938905.0,3880919533.0,0.9475228677324712
2019-01,1009,563,7725,5663,4276850416.0,0.4414239482200647,0.9271197411003236,326651129.0,3950199287.0,0.9236234384588305
2019-02,1111,649,7199,5463,3905781898.0,0.43936657869148493,0.9098485900819558,329737331.0,3576044567.0,0.9155771265239245
2019-03,1264,689,8432,6186,4467813134.0,0.4424810246679317,0.918287476280835,352943599.0,4114869535.0,0.9210030526312518
2019-04,1015,625,8287,6127,4523858484.0,0.4324846144563775,0.9245806685169543,315132213.0,4208726271.0,0.9303399489363867
2019-05,1089,643,8910,6575,4937294878.0,0.44803591470258136,0.9278338945005612,359106836.0,4578188042.0,0.9272664799503596
2019-06,1243,408,8659,6313,4795348995.0,0.4553643607806906,0.9528813950802633,218800048.0,4576548947.0,0.954372445419898
2019-07,2100,1180,10006,7473,5486265709.0,0.4488307015790526,0.8820707575454727,623318815.0,4862946894.0,0.88638559485417
2019-08,1402,792,10017,7387,5549377601.0,0.438754117999401,0.9209344115004492,417168210.0,5132209391.0,0.9248261264605915
2019-09,1258,717,10099,7467,5627588879.0,0.44014258837508663,0.9290028715714427,363774743.0,5263814136.0,0.9353586854296575
2019-10,1232,670,10563,7741,5764206432.0,0.4427719397898324,0.9365710498911294,378945668.0,5385260764.0,0.9342588312076606
2019-11,1302,731,10880,8136,5886596066.0,0.4391544117647059,0.9328125,385663295.0,5500932771.0,0.934484498226823
2019-12,1278,443,11054,7969,5862795677.0,0.45087751040347385,0.959924009408359,256648113.0,5606147564.0,0.9562242781192526
2020-01,1145,631,11428,8405,6212285625.0,0.43979698984949245,0.9447847392369618,354499250.0,5857786375.0,0.9429357773613315
2020-02,1340,731,11272,8436,6250584328.0,0.4323988644428673,0.9351490418736693,438841997.0,5811742331.0,0.929791844414582
2020-03,1183,699,12357,8952,6937828742.0,0.4237274419357449,0.9434328720563243,407855743.0,6529972999.0,0.9412127686965035
2020-04,1190,678,12281,8990,6840610051.0,0.4208940640013028,0.9447927693184595,385254776.0,6455355275.0,0.9436812253398831
2020-05,1430,444,12763,9131,6993044247.0,0.43586930972341925,0.9652119407662775,239989192.0,6753055055.0,0.9656817283684491
2020-06,1175,660,12952,9449,7181533058.0,0.4170784434836319,0.9490426189005559,374765229.0,6806767829.0,0.9478154279910299
2020-07,2500,1352,14434,10570,7797052066.0,0.3969100734377165,0.9063322710267424,748114016.0,7048938050.0,0.9040516839354911
2020-08,1859,1034,15175,10858,8313221980.0,0.4042833607907743,0.9318616144975288,564521107.0,7748700873.0,0.9320935843697993
2020-09,1426,809,14703,10622,8113512014.0,0.40025845065632865,0.9449772155342447,466932823.0,7646579191.0,0.942449974537007
2020-10,1589,839,15750,11169,8682061438.0,0.3905396825396825,0.9467301587301588,464777552.0,8217283886.0,0.9464669128041708
2020-11,1569,874,16064,11470,8924675971.0,0.383777390438247,0.9455926294820717,513748995.0,8410926976.0,0.9424349974531977
2020-12,1415,463,16379,11484,9208997572.0,0.3898894926430185,0.9717320959765553,281054879.0,8927942693.0,0.9694804047017508
2021-01,1775,868,17331,12271,9581075987.0,0.37874329236628007,0.9499163348912354,509870677.0,9071205310.0,0.9467835681825493
2021-02,1386,786,16020,11754,8919640578.0,0.381585518102372,0.950936329588015,439938281.0,8479702297.0,0.9506775775152764
2021-03,1501,867,18410,12912,10223906000.0,0.3708853883758827,0.9529060293318848,519393294.0,9704512706.0,0.9491981544040018
2021-04,1413,758,18053,12790,9983541103.0,0.37400985985708746,0.9580125186949537,472676841.0,9510864262.0,0.9526543902485699
2021-05,1707,468,19197,13290,10775246195.0,0.37755899359274886,0.9756211908110642,258821639.0,10516424556.0,0.9759799790820464
2021-06,1439,770,18855,13282,10345571647.0,0.3675948024396712,0.9591620259878016,409598566.0,9935973081.0,0.9604083196196534
2021-07,3348,1581,21211,14935,11501440784.0,0.3569374381217293,0.9254632030550186,891831778.0,10609609006.0,0.9224591253610023
2021-08,2214,1163,21943,14995,12206067577.0,0.35341566786674566,0.9469990429749806,702987087.0,11503080490.0,0.9424067511862179
2021-09,1934,973,22070,15164,12169056189.0,0.3467149977344812,0.9559130040779339,505504487.0,11663551702.0,0.9584598444489933
2021-10,2247,1053,23587,15854,12874289066.0,0.344215033705007,0.9553567643193285,534687694.0,12339601372.0,0.9584685654284345
2021-11,1919,1007,23919,16191,13225583993.0,0.3404406538734897,0.9578995777415443,551890559.0,12673693434.0,0.9582709875577439
2021-12,1877,473,24542,16260,13467967983.0,0.34117023877434605,0.9807269171216689,256042035.0,13211925948.0,0.9809888146954916
2022-01,2361,1057,26102,17314,14311331758.0,0.33836487625469314,0.9595050187725078,603200721.0,13708131037.0,0.95785153113631
2022-02,1919,918,24319,16545,13236098799.0,0.3290431349973272,0.9622517373247256,465551891.0,12770546908.0,0.9648271066822822
2022-03,1954,873,27507,17655,15134505995.0,0.32500817973606716,0.9682626240593304,459023275.0,14675482720.0,0.9696704157273685
2022-04,2019,872,27960,17891,15431830729.0,0.3247854077253219,0.9688125894134478,432702606.0,14999128123.0,0.9719603841178188
2022-05,2054,408,28799,17564,15776684223.0,0.3245251571235112,0.9858328414181048,214551602.0,15562132621.0,0.986400716464413
2022-06,1851,762,27385,16319,15051883083.0,0.3113383238999452,0.9721745481102794,417812713.0,14634070370.0,0.9722418310920918
2022-07,2202,998,24090,9974,13294709565.0,0.27907845579078455,0.9585720215857202,490707483.0,12804002082.0,0.9630900185821397
